imie;nazwisko;miasto;ulica;nr;mieszkanie;data_ur;pesel
Fabian;TONKIN;Latyczyn;ulica Płowce;68;19;18.04.1992;92041853478
Marcelina;CZAPLIC;Nowa Strzemeszna;ulica Wadowicka;32;25;12.01.1964;64011230405
Hubert;KUMIDOR;Krzyczew;ulica Zajęcza;88;5;05.08.1955;55080581562
Ignacy;WOLFRAM-JAROSZYŃSKI;Kowańcz;ulica Reniferowa;42;2;29.08.1924;24082979776
Ewa;ORZIEVA;Kąty;ulica Łochowska;19;26;22.11.1989;89112227911
Wiktor;ŠČITAS;Gądów Mały;ulica Kokarda;12;82;07.11.1978;78110751524
Krzysztof;DIRICKX;Dargobądz;ulica Józefa Bellottiego;47;48;06.09.1984;84090629956
Dominika;SEVENICH;Chwałkowo-Huby;ulica Tomcia Palucha;67;10;05.05.1951;51050523287
Magdalena;HONZATKO;Kruhel Pawłosiowski;ulica Sielska;84;34;14.04.1990;90041447006
Alicja;ZBIEGIEŁ;Krakowska;ulica Arkadowa;21;70;19.08.1940;40081998712
Łucja;KABLAU;Ostrów;ulica Kosaćcowa;97;25;07.02.1911;11020797904
Zofia;BABINA;Wypychów;ulica Pokucka;99;18;30.06.1934;34063018629
Emilia;ZERMAN;Pod Lasem;ulica Strzelców;15;77;13.01.1990;90011352139
Tymon;STUPER;Cegielnia;ulica Matuszewska;78;41;21.10.1992;92102112176
Miłosz;ZABRZAŃSKI;Jaszczysko;ulica Gąsienicowa;66;84;26.08.1947;47082638389
Wojciech;WYKRYTOWICZ;Rogów;ulica Fort Piłsudskiego;17;85;01.10.1954;54100137973
Julian;HARIK;Głowin;ulica Kopijników;6;41;14.11.1947;47111475003
Mikołaj;CHOROSZCZAK;Długa;ulica Ogórkowa;86;13;21.02.1985;85022124085
Blanka;KULIKOV;Zakałcze Wielkie;ulica Majowa;7;60;01.11.1996;96110159613
Igor;JANSSON;Zamłynie;ulica Marcina Kątskiego;67;46;26.02.1927;27022655226
Marcelina;DO;Piećki;ulica Andrzejowska;94;25;28.02.1989;89022880175
Michał;ZENDELOVSKI;Markowo;ulica Dziekania;15;24;12.05.1949;49051235698
Fabian;RĘPIŃSKI;Cegielnia;ulica Mysłowicka;90;99;26.07.1969;69072683250
Alan;STERKOWICZ;Góra;Park Karola Beyera;57;36;28.03.1928;28032866850
Aleksandra;LEWKOWIEC;Bobrowa;Aleja Obrońców Warszawy;14;84;22.12.1963;63122238672
Nadia;MIDZIO;Kosewo Włościańskie;ulica Warowna;44;93;11.08.1979;79081147711
Aleksandra;KORDIUMOW;Białe;ulica Tadeusza Gajcego;55;31;30.10.1970;70103089625
Karol;MEUWISSEN;Matnia;ulica Kielecka;17;86;26.05.1966;66052697896
Oskar;STACEVIČ;Strzępek;ulica Stefana Czarnieckiego;80;70;04.03.1912;12030477192
Kinga;HALPERIN;Żydówka;ulica Warowna;100;33;24.06.1931;31062461181
Kamil;SOKHATSKYY;Gęsia Ulica;ulica Nachyłkowa;14;96;30.09.1956;56093015140
Dawid;WRZACHOL;Ciepielów Drugi;ulica Stroma;65;69;21.10.1906;06102164502
Maksymilian;KOTORMUS;Wyszków Śląski;Plac Tadeusza Kotarbińskiego;75;8;06.04.1998;98040645579
Marcin;OLIZAROWSKI;Kudwiny;ulica Lewicka;40;6;20.04.1977;77042048022
Patrycja;PETEJKO;Żurawiniec;ulica Ametystowa;40;65;30.05.1991;91053076198
Aleksander;MACKIEWICZ;Kłobie;ulica Wokalna;3;74;12.08.1917;17081226725
Krzysztof;MAKIOLLA;Nowa Różanka;ulica Potocka;58;48;18.09.1965;65091883469
Szymon;RZOCZEK;Dobry Lasek;ulica Kosiarzy;84;16;07.08.1938;38080741567
Antonina;OMIELIJAŃCZYK;Nowe Buczyce;Rondo Emilii Malessy „Marcysi”;97;48;12.01.1906;06011251557
Adam;KRYMOVSKYI;Kowanowo;ulica Sygnałowa;52;92;03.05.1952;52050331480
Antonina;SACEWKA;Florek;ulica Świdnicka;21;95;06.03.1995;95030677550
Krzysztof;STARSKI;Uniszów;ulica Rynkowa;85;12;25.04.1958;58042578311
Małgorzata;BUDHANI;Łążek;ulica Adama Jarzębskiego;25;77;16.10.1929;29101631923
Hubert;PULANECKI;Zagórcze;ulica Wygodna;86;63;02.03.1973;73030228758
Marcel;KOTKOV;Gaszyn;ulica Ksawerego Pruszyńskiego;60;4;09.04.1933;33040920020
Julian;PATOČKA;Nowa Droga;ulica Amarantowa;4;3;30.01.1937;37013055995
Leon;BUTJA;Zarzecze;ulica Kruszyny;7;13;19.02.1906;06021979920
Alan;KRYVCHENKO;Wełny;ulica Jachtowa;57;33;03.12.1939;39120359306
Hubert;YAROTSKI;Zastruże;ulica Brzeska;38;71;05.09.1980;80090546701
Łucja;HNATKIEWICZ;Stelągi;ulica Michała Ossowskiego;49;65;27.01.1991;91012745616
Filip;BIEMANN;Borki;ulica Kłodzka;42;59;23.12.1907;07122363211
Karol;DZORDZ;Studzienki;Park Żołnierzy „Żywiciela”;92;18;13.02.1982;82021387311
Natalia;HACINA;Wierzniczka;ulica Zygmunta Modzelewskiego;38;8;02.06.1984;84060231540
Wiktoria;LUTOMIRSKA;Kobylin;ulica Gorzykowska;77;14;15.06.1956;56061541683
Alicja;BAJKUDI;Żerkowice;ulica Rozmarynu;94;31;15.12.1957;57121547259
Helena;SOBECKO;Teklin;Skwer Batalionu AK „Zaremba-Piorun”;5;31;08.03.1940;40030813848
Oliwia;GAŁĘZYKA;Ciemne;ulica Himalajska;20;95;16.09.1972;72091665309
Natalia;KĘDZIERSKA-MICHALAK;Wójcinek;ulica Oczeretu;3;35;27.02.1961;61022793705
Leon;WASEŃCZYK;Koło Janinej Góry;ulica Kiwerska;14;94;23.09.1946;46092368982
Stanisław;KLAMAR;Łoje-Awissa;ulica Potockich;8;100;03.08.1947;47080334563
Mikołaj;SZWEBÓW;Rososze;ulica Zawiszaków;58;16;27.11.1950;50112735479
Julian;ZAKACZ;Łucjanowo;ulica Czerwonego Kapturka;82;40;25.11.1950;50112565049
Leon;FAULMÜLLER;Góra;ulica Głębocka;55;39;28.08.1931;31082827940
Fabian;BOIANETSKYI;Zagrodzie;ulica Nadrzeczna;39;99;08.10.1929;29100855106
Krzysztof;BANDOLKO;Biały Ług;ulica Kwiatowa;6;37;01.05.1914;14050162519
Tomasz;HANSON;Zawady;ulica Filtrowa;36;29;27.10.1982;82102757356
Paweł;KIZOWSKI;Kamień;ulica Herbu Korczak;6;91;14.09.1909;09091419044
Filip;MRUKOWIECKI;Wójcice Wielkie;ulica Wiśniowa;38;8;18.12.1906;06121894901
Marcelina;DANYK;Karolinów;ulica Antoniego Kacpury;23;85;13.01.1994;94011387790
Tymoteusz;RUDCZYK;Szczurkówka;ulica Plutonu AK „Torpedy”;28;63;09.02.1911;11020953621
Weronika;DAWEJNIS;Nieskórz;ulica Zawiszaków;25;12;27.11.1976;76112758796
Leon;PIETROŁOWSKI;Pod Borem;ulica Czerwona Droga;6;97;21.01.1978;78012133385
Gabriela;ZAWIRSKA;Kąt-Kicycha;ulica Maryli;17;18;13.06.1975;75061312195
Krystian;WATFORD;Chrósty;ulica Władysława Reymonta;97;70;06.03.1937;37030673883
Magdalena;DOMAŃSKA-ZIELIŃSKA;Klepki;ulica Eugeniusza Kwiatkowskiego;71;96;09.02.1982;82020989717
Jakub;LEENDERS;Nowy Bytom;ulica Miechowska;86;50;04.08.1936;36080417710
Marcel;MCPHILLIPS;Granice;Plac Piotra Szembeka;53;3;01.03.1946;46030119500
Milena;STAŃCZY;Zaborze;Park Agrykola;30;78;05.09.1990;90090515791
Antoni;DŻURA;Stary Kamień;ulica Samowarowa;27;75;16.11.1961;61111626197
Antonina;BENEŠ;Zawada;ulica Marmurowa;6;22;30.11.1952;52113045913
Ewa;LIGNAR;Nowy Karolinów;ulica Tadeusza Hołówki;6;60;24.11.1960;60112431374
Michalina;DULOVA;Narty;ulica Wodzisławska;78;5;06.04.1926;26040627615
Paulina;GÓRLAGA;Ciechlin;ulica Mieczysława Orłowicza;52;45;23.07.1930;30072342001
Laura;JAŁMUŻNIAK;Ostowo;ulica Jakuba Kubickiego;28;97;10.08.1957;57081094667
Kaja;CEGŁOWSKA VEL CEGIEŁKA;Swojki;ulica Męcińska;74;30;11.03.1995;95031139902
Gabriel;OSADCHUK;Robotno-Fitowo;ulica Orląt Lwowskich;24;70;08.03.1988;88030854879
Tomasz;NIEBIESKI;Borek;ulica Torowa;20;92;08.07.1957;57070884218
Kamil;CHYĆKO;Ludwików;ulica Ppłk. Macieja Kalenkiewicza „Kotwicza”;48;32;06.03.1907;07030656017
Małgorzata;PLONSAK;Bodaczki;ulica Drezdeńska;81;44;09.03.1961;61030913301
Nadia;SMIEJCZAK;Toczki;ulica Traktorzystki;42;7;27.10.1906;06102770525
Alan;PŁAWUSZEWSKI;Chrobaki;ulica Stanisława Smolki;83;84;04.08.1974;74080419859
Ewa;DROJETZKI;Nowe Podole;ulica Szprotawska;69;8;09.05.1946;46050960071
Magdalena;MURAWSKA-SIEDLECKA;Kuflew-Nowa Wieś;ulica Ekspresowa;16;48;16.02.1957;57021670933
Antoni;DRAPIŃSKI;Osowo;ulica Łagiewnicka;3;21;28.02.1912;12022824696
Karol;SEMASHKO;Kowalewo-Borki;ulica płk. Kazimierza Leskiego;61;10;26.04.1918;18042696618
Michał;SUWKA;Radostków;ulica Próżna;37;5;21.04.1948;48042128806
Hanna;SMARSLY;Natalin;ulica Kuracyjna;61;28;24.02.1923;23022468025
